file,main_section,subsection,content
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"4. обращаться с иском в суд в порядке, установленном законодательством Республики Казахстан;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,5. осуществлять производство по делам об административных правонарушениях в пределах компетенции;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"6. выступать участником товарищества с ограниченной ответственностью ""Научно-исследовательский институт ""Алматыгенплан"" по решению местного исполнительного органа;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,7. иные права в соответствии с действующим законодательством.
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,2) обязанности:
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"1. формирование, координация реализации комплексной градостроительной стратегии устойчивого развития города с учетом общественных, экономических и экологических приоритетов;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"2. предоставлять информацию, запрашиваемую другими государственными органами в пределах компетенции Управления архитектуры и градостроительства города Алматы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"3. входить в состав рабочих групп, организуемых акиматом города Алматы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,4. предоставлять государственные услуги физическим и юридическим лицам в пределах компетенции Управления архитектуры и градостроительства города Алматы;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,5. отвечать на запросы физических и юридических лиц в пределах компетенции Управления архитектуры и градостроительства города Алматы;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,6. организовывать прием с гражданами и представителями предприятий и организаций по вопросам входящих в компетенцию Управления архитектуры и градостроительства города Алматы;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,"7. принимать участие в различных мероприятиях, организуемых акиматом города Алматы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,8. проводить сверки на соответствие выписки из цифровой карты градостроительных проектов;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",13. Полномочия:,9. иные обязанности в соответствии с действующим законодательством.
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"1) проведение государственной архитектурной, градостроительной и строительной политики на территории города Алматы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"2) разработка и содействие в реализации Концепции Мастер-плана, Мастер-плана города Алматы с учетом принципов транзитно-ориентированного, полицентричного развития города на основе мирового опыта планирования городов;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,3) разработка градостроительной документации в соответствии с Концепцией Мастер-Плана и Мастер-Планом города Алматы;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,4) разработка и координация реализация Генерального плана развития города Алматы и комплексной схемы градостроительного планирования территорий зон влияния на города Алматы;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,5) разработка проектов детальных планировок на территории города Алматы;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,6) ведение учета вводимых в эксплуатацию объектов и мониторинг строящихся;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"7) участие в реализации соблюдения единых стандартов обустройства городской среды в соответствии с лучшими практиками урбанистики, в том числе по благоустройству пешеходных зон, дворовых пространств, транспортных и прочих общественных зон, с обеспечением инклюзивности для всех слоев населения;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"8) разработка стандарта, контроль размещения наружной рекламы, оформления фасадов зданий и иной деятельности формирующий архитектурный облик;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,9) разработка и ведение геоинформационных систем;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,10) определение функциональных зон перспективного экономического развития;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"11) проведение общественных слушаний проектов детальных планировок, проектов общественных пространств совместно с районными акиматами и администраторами проектов застройки;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"12) цифровизация бизнес-процессов для повышения эффективности деятельности, а также качества, прозрачности, оперативности и доступности государственных услуг;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,13) оказание государственных услуг на принципах открытости и подотчетности для повышения удовлетворенности их получателей;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,14) разработка и выдача заказчикам архитектурно-планировочных заданий на проектирование;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"15) ведение и наполнение информационной системы ""Адресный регистр"" города Алматы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"16) выдача решения о строительстве культовых зданий, определении месторасположения, а также изменении функционального назначения объектов в культовые здания, сооружения по согласованию с уполномоченным органом в сфере религиозной деятельности;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"17) регулирование деятельности участников строительства объектов долевого участия в жилищном строительстве в соответствии с законодательством Республики Казахстан об архитектурной, градостроительной и строительной деятельности;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"18) рассмотрение заявлений о предоставлении прав на земельные участки, изменении целевого назначения земельных участков, продлении срока аренды земельных участков предоставленных для строительства объектов в соответствии с утвержденными градостроительными документами, определении делимости и неделимости земельных участков;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,19) рассмотрение обращений физических и юридических лиц;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"20) анализ обращений и выявление системных проблем, поднимаемых заявителями;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"21) осуществление мониторинга вывесок, фасадов зданий, освещения городской среды, систем навигации, уличной мебели, ограждений на соблюдение требований дизайн-кода города Алматы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,22) рассмотрение петиций;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,23) внесение проекта Генерального плана города на утверждение в Правительство Республики Казахстан;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"24) разработка и внесение на согласование в уполномоченный орган по делам архитектуры, градостроительства и строительства правил формирования архитектурного облика и градостроительного планирования городов республиканского значения и столицы;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,25) предоставление в установленном порядке информации и (или) сведений для внесения в базу данных государственного градостроительного кадастра;
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,"26) согласование границ территорий запретной зоны и запретного района при арсеналах, базах и складах Вооруженных Сил Республики Казахстан, других войск и воинских формирований;"
Положение УАиГ.docx,"Глава 2. Задачи и полномочия коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",14. Функции:,27) иные функции в соответствии с действующим законодательством.
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",,
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""","15. Руководство Управлением архитектуры и градостроительства города Алматы осуществляется первым руководителем, который несет персональную ответственность за выполнение возложенных на Управление архитектуры и градостроительства города Алматы задач, и осуществление им своих полномочий.",
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",16. Первый руководитель Управления архитектуры и градостроительства города Алматы назначается на должность и освобождается от должности в соответствии с законодательством Республики Казахстан.,
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""","17. Первый руководитель Управления архитектуры и градостроительства города Алматы имеет заместителей, которые назначаются на должности и освобождаются от должностей в соответствии с законодательством Республики Казахстан.",
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,"1) организует и руководит работой Управления архитектуры и градостроительства города Алматы и несет персональную ответственность за выполнение возложенных на Управление архитектуры и градостроительства города Алматы задач, и осуществление им своих полномочий;"
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,2) определяет обязанности и полномочия своих заместителей и руководителей отделов Управления архитектуры и градостроительства города Алматы;
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,"3) принимает меры, направленные на противодействие коррупционным правонарушениям в Управлении архитектуры и градостроительства города Алматы, и несет персональную ответственность за принятие данных мер;"
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,4) в соответствии с законодательством назначает на должности и освобождает от должностей работников Управления архитектуры и градостроительства города Алматы;
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,5) рассматривает дисциплинарную ответственность ответственных должностных лиц за предоставление недостоверных данных (выписки из градостроительных проектов);
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,6) в установленном законодательством Республики Казахстан порядке поощряет и налагает дисциплинарные взыскания на сотрудников Управления архитектуры и градостроительства города Алматы;
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,7) издает приказы в пределах своих полномочий;
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,8) утверждает структуру Управления архитектуры и градостроительства города Алматы и положения об отделах Управления архитектуры и градостроительства города Алматы;
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,"9) представляет Управление архитектуры и градостроительства города Алматы в государственных органах, иных организациях;"
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,10) осуществляет иные полномочия в соответствии с законодательством Республики Казахстан.
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",18. Полномочия первого руководителя Управления архитектуры и градостроительства города Алматы:,"Исполнение полномочий первого руководителя Управления архитектуры и градостроительства города Алматы"" в период его отсутствия осуществляется лицом, его замещающим в соответствии с действующим законодательством."
Положение УАиГ.docx,"Глава 3. Статус, полномочия первого руководителя коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",19. Первый руководитель определяет полномочия своих заместителей в соответствии с действующим законодательством.,
Положение УАиГ.docx,"Глава 4. Имущество коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",,
Положение УАиГ.docx,"Глава 4. Имущество коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""","20. Управление архитектуры и градостроительства города Алматы может иметь на праве оперативного управления обособленное имущество в случаях, предусмотренных законодательством.",
Положение УАиГ.docx,"Глава 4. Имущество коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""","20. Управление архитектуры и градостроительства города Алматы может иметь на праве оперативного управления обособленное имущество в случаях, предусмотренных законодательством.","Имущество Управления архитектуры и градостроительства города Алматы формируется за счет имущества, переданного ему собственником, а также имущества (включая денежные доходы), приобретенного в результате собственной деятельности, и иных источников, не запрещенных законодательством Республики Казахстан."
Положение УАиГ.docx,"Глава 4. Имущество коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""","21. Имущество, закрепленное за Управлением архитектуры и градостроительства города Алматы, относится к коммунальной собственности.",
Положение УАиГ.docx,"Глава 4. Имущество коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""","22. Управление архитектуры и градостроительства города Алматы не вправе самостоятельно отчуждать или иным способом распоряжаться закрепленным за ним имуществом и имуществом, приобретенным за счет средств, выданных ему по плану финансирования, если иное не установлено законодательством.",
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",,
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,"Перечень организаций, находящихся в ведении Управления архитектуры и градостроительства города Алматы:"
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,"1) товарищество с ограниченной ответственностью ""Научно-исследовательский институт ""Алматыгенплан""."
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,Перечень утративших силу постановлений акимата города Алматы
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,"1. от 4 февраля 2019 года №1/78 ""Об утверждении положения коммунального государственного учреждения ""Управление городского планирования и урбанистики города Алматы"";"
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,"2. от 11 декабря 2023 года №4/659 ""О внесении изменения и дополнения в постановление акимата города Алматы от 4 февраля 2019 года №1/78 ""Об утверждении Положения о коммунальном государственном учреждении ""Управление городского планирования и урбанистики города Алматы"";"
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,"3. пункт 2 постановления акимата города Алматы от 26 апреля 2024 года №2/279 ""О внесении изменений и дополнений в некоторые постановления акимата города Алматы""."
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",23. Реорганизация и упразднение Управления архитектуры и градостроительства города Алматы осуществляются в соответствии с законодательством Республики Казахстан.,© 2012. РГП на ПХВ «Институт законодательства и правовой информации Республики Казахстан» Министерства юстиции Республики Казахстан
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",Таблица 1,"[Таблица 1]
Аким города Алматы | Д. Сатыбалды"
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",Таблица 2,"[Таблица 2]
 | Приложение 1
к постановлению акимата города Алматы
от 11 сентября 2025 года № 3/628"
Положение УАиГ.docx,"Глава 5. Реорганизация и упразднение коммунального государственного учреждения ""Управление архитектуры и градостроительства города Алматы""",Таблица 3,"[Таблица 3]
 | Приложение 2
к постановлению акимата города Алматы
от 11 сентября 2025 года № 3/628"
